Row ID,Área de solicitação,Natureza da atividade,Tipo de atividade,Descrição da atividade,Detalhamento da atividade,OPCOES,lembrete
LTpkgGUFTY4Xmz8Ezn3zif,ALIMENTAÇÃO ESCOLAR,Visita técnica alimentação escolar,Orientações,,,Obs.,
wL-MsHqTPi4jmsrPlQxNBa,ALIMENTAÇÃO ESCOLAR,Visita técnica alimentação escolar,Verificação de insumos,,,Obs.,
T3CMUdpOys46Q0JHhVXFY4,ALIMENTAÇÃO ESCOLAR,Visita técnica alimentação escolar,Verificação de equipamentos,,,Obs.,
9eLziAKtRy4veSdwtFCi84,ALIMENTAÇÃO ESCOLAR,Visita técnica alimentação escolar,Verificação do espaço físico da cozinha,,,Obs.,
W_2eTC0m3a4UmlEIy1Jl-5,ALIMENTAÇÃO ESCOLAR,Visita técnica alimentação escolar,Verificação do quantitativo de refeições,,,Obs.,
69cOrZlnno4Oqlp46gN8Qc,ALIMENTAÇÃO ESCOLAR,Visita técnica alimentação escolar,Verificação geral dos serviços de alimentação escolar,,,Obs.,
QFilvsp6n841eYl1cOL6Kc,ALIMENTAÇÃO ESCOLAR,Envio de laudo (médico ou nutricionista),Intolerância à lactose,,,Obs.,
HScux-iQkv43iweje1aD_d,ALIMENTAÇÃO ESCOLAR,Envio de laudo (médico ou nutricionista),Alergia à proteína do leite vaca (APLV),,,Obs.,
wNQ_ZjKFy34Lq4AT5LFz6a,ALIMENTAÇÃO ESCOLAR,Envio de laudo (médico ou nutricionista),"Doença celíaca (glúten, trigo etc.)",,,Obs.,
Cbro5Dzryj42ykzc_TjT1b,ALIMENTAÇÃO ESCOLAR,Envio de laudo (médico ou nutricionista),Seletividade alimentar (educando com TEA),,,Obs.,
08KTAtcJRs4QEiIU22L2P4,ALIMENTAÇÃO ESCOLAR,Envio de laudo (médico ou nutricionista),Seletividade alimentar (educando sem TEA),,,Obs.,
aRxmXrVUZj4hQW_YLbr0B3,ALIMENTAÇÃO ESCOLAR,Solicitação de refeições,Encaminhar solicitação quinzenal,,,Obs.,
gzOPHP7Yyu4umjOkiXQEGc,ALIMENTAÇÃO ESCOLAR,Solicitação de refeições,Aumento da quantidade de refeições,,,Obs.,
-3Ld6W0OZM4w6heknTBxx0,ALIMENTAÇÃO ESCOLAR,Solicitação de refeições,Diminuição da quantidade de refeições,,,Obs.,
YRKXz2Hoer4-IZabXaC9yd,ALIMENTAÇÃO ESCOLAR,Alteração de cardápio,Alteração de dia,Cardápios da Educação Infantil,Berçário (CARD 1),Obs.,
FaHE_MookH4v6bBbgnoQT7,ALIMENTAÇÃO ESCOLAR,Alteração de cardápio,Alteração de dia,Cardápios da Educação Infantil,Integral (CARD 2 e CARD 3),Obs.,
i7a8pir0rd41YKvblTA5o5,ALIMENTAÇÃO ESCOLAR,Alteração de cardápio,Alteração de dia,Cardápios da Educação Infantil,Parcial matutino (CARD 2 e CARD 3),Obs.,
Xcw6byXKXD4bA05Oc25Zl8,ALIMENTAÇÃO ESCOLAR,Alteração de cardápio,Alteração de dia,Cardápios da Educação Infantil,Parcial vespertino (CARD 2 e CARD 3),Obs.,
kpILTGFVIx4lq6vCy3BDWf,ALIMENTAÇÃO ESCOLAR,Alteração de cardápio,Alteração de dia,Cardápios da Educação Infantil,Fruta (CARD 8),Obs.,
9vYQ5Vlcjt4g6LD_Qvel41,ALIMENTAÇÃO ESCOLAR,Alteração de cardápio,Alteração de dia,Cardápios do Ensino Fundamental,Integral - desjejum (CARD 4),Obs.,
